1: 245区，幻音坊急收人啊。求伙伴
315: 啊啊啊，什么时候修复啊，三天了还是进不了服务器

316: 送的东西不错哦，目前玩着很顺手

317: 360u123……这些都他妈是托，超你妈

318: 这游戏太好玩了

319: 草泥马一群赔钱货  安装不了  你们还有没有  活的了

320: 不良人，绝对好评

321: 棒棒棒，强力推荐！！！

322: 一句话，发自内心喜欢。

323: 单看画面就喜欢，一定很不错

324: 游戏在努比亚z7max总是闪退！！！！

325: 画面好、音效好、可玩

326: 从来都是潜水，必须来给个好评，游戏简单易懂，超级好评！

327: 抓紧时间解决吧！这都第三天了！一进入选区界面就闪退了！

328: 非常喜欢不良人这部动漫，刚下载了游戏，期望好玩。

329: 加油不良人

330: 特别给力的游戏啊

331: 画面逼真，有感觉，喜欢张子凡。

332: 还不错~~~

333: 我一定要玩不良人!我要礼包!

334: 哇，可以和小湿妹双休，想想都。。。

335: 场景唯美大气，动作流畅漂亮。

336: good,这游戏太棒了

337: 动漫不错，白无常的红肚兜挺有意思。

338: 不良人粉丝，赞一个。

339: 快点出来啊 好期待可以玩的

340: 教你们怎么安装。用这个办法不行就去不良人手游吧看去。先把SD卡拔出来，重启。安游戏。然后一切OK

341: 为什么还是安装不了

342: 更新不了。不让安装。

343: 动漫不错，白无常的红肚兜挺有意思。

344: 好玩，希望出更多好玩的模式

345: 侠客战斗力怎么提升，求高手

346: 更新后安装不了，荣耀6plus

347: 感觉画面制作精美，优化和渲染都不错，也是对我这种粉丝满意的交代！支持！

348: 画面超赞,玩法有趣

349: 更新根本就安装不上，坑死人了

350: 这游戏真的值得给5星。

351: 安装了，但是一打开，出现掌趣后立马蓝屏或者黑屏

352: 业界良心！游戏平衡！技能酷炫！想了半天也没有想到不玩的理由啊！

353: 先给个五星吧

354: 您的赞美就是动漫不错，白无常的红肚兜挺有意思。给作者最大的回报，觉得好就表扬TA一下吧。

355: 画风和剧情不错，玩起来要用点心

356: 都二十多级了，要用心去玩

357: 前些天看过视频了，很牛的样子。

358: 三星手机 一更新连安装都不行  破玩意坑钱的货Orz

359: 电视一直在看，刚下载游戏

360: 安装不了

361: 小米2，更新安装后玩不了，打开一直提示更新中

362: 为什么我的手机安装不了

363: 装不了，华为荣耀6

364: 真心好玩！画面也好！

365: 动漫不错，白无常的红肚兜挺有意思。

366: 画质很不错啊

367: 选区闪退 红米

368: mlgb的 红米不能玩 选区闪退

369: 今年来难得的好游戏

370: 超3D，赞一个。

371: 我一定要玩不良人!我要礼包!

372: 铁粉们，走起。

373: 不良人绝对属于精品行列的，操作舒服

374: 有礼包吗，从哪领。

375: 画面很给力、效果很酷炫，给一个大拇指！

376: 我一定要玩不良人!我要礼包!

377: 画面和效果狂赞，可玩性可以。

378: 更新后一直无法安装成功，这是怎么回事

379: 喜欢动漫，喜欢手游 ~~~

380: 进不了服务器啊，什么时候能修好，

381: 的确大气磅礴的，玩起来很过瘾

382: 打斗技能做的确实很好。

383: 下好了，就等一会玩了。

384: 画面精美，犹如身临其境

385: 第一次玩手游，感觉不错。

386: 先给个五星吧

387: 看着貌似还不错，有点回到电视中的感觉，打算玩下看

388: 好评，好玩有趣

389: 不错！ 我喜欢不良人手游！

390: 特效，画面感比好多日漫强多了～～游戏更不用说了

391: 动漫很棒，希望游游戏也不错。

392: 画质音乐让人很飘然。

393: 这游戏不错啊，画面太喜欢了，给力。

394: 这游戏简直酷炫，停不下来了！

395: 之前玩过，打斗技能还不错

396: 画面超赞,运行流畅,动作带感

397: 画面超赞,运行流畅,动作带感,音效很棒,玩法有趣

398: 游戏不错，画面赞一个。

399: 手机连接电脑，在电脑上用360手机助手直接下载安装至手机，终于安装成功了，不过，这样的安装方法，还能叫手游平台吗？？

400: 画面不错！赞个。

401: 叫我发ID信息然后就不理我，你们360就是这样办事的吗？

402: 还安装不了，能行了不

403: 赞，这游戏看着简单，其实玩起来很好的。

404: 动漫不错，白无常的红肚兜挺有意思。

405: 非常喜欢不良人这部动漫，刚下载了游戏，期望好玩。

