1: 太筒單了，一下子就過去了。人物還這麽醜。
就是给作者最大的回报，觉得好就表扬TA一下吧。

661: 总是闪退

662: 这是我见过最好玩的游戏了，太好玩个了！

663: 老是闪退，不过挺好玩的

664: 老是闪退

665: 老閃退，根本進不去

666: 爽啊，五星

667: 这个游戏太好玩了！

668: 为什么进不起，一打开就弹回来了

669: 为什么进不去

670: 好玩倒是好玩，可是玩着玩着自己就退了，烦人，谁有办法啊

671: 自己就退了

672: 好玩

673: 很好玩

674: 老是闪退，不好

675: 不错呀，消遣时间不错的。

676: 好玩五颗星奉上。

677: 一点也不好玩

678: 你tm的要闪频

679: 不好玩

680: 好玩的呀，我玩了几天，也没有闪退

681: 我也是为陈翔老大来的为老大五星

682: 還不錯，還行吧！

683: 百分之百然后黑屏闪退……难道是手机的问题

684: 老是闪退

685: 总闪退，游戏还不错

686: 什么黑呗游戏啊！

687: 擦他妹的逼，刚玩到没几分钟就闪退，什么狗屁游戏啊！草泥马的逗逼

688: 游戏画风还行，就是总闪退。

