1: 哈哈哈哈哈啊哈哈哈哈哈哈啊哈哈哈哈哈哈哈好
516: 玩的时候手机没电了，之后开机打开游戏发现技能全解、金币、钻石全没了，闯关进度也没了，17元多白花了，可以帮我解决一下吗？谢谢。

517: 觉得第二季的好，不过都很好玩啊！

518: 为什么我的话费扣过了，砖石没充上呢？怎么那么坑啊！！！！！

519: 垃级，垃级让我出100

块钱，你培的起么？还有怎么进不去啊。

520: 下载了不能玩

521: 下不了啊，下是死人

522: 好垃圾！好垃圾！好垃圾！

523: 下载下进不去

524: 为毛进不去

525: 好玩~(≧▽≦)/~

526: 很好玩  喜欢

527: 好，但是不容易得宝石。可以经常刷

528: 特别好玩很容易过关

529: 大家别下.老退○

530: 好多人评论哦！你们来玩把，很好玩的。你看这么多人，都在评论。

531: 挺好的，我玩过了

532: 单机版的爸爸去哪，刚下玩玩看，应该还不错！

533: 岂是儿戏？?

534: 还可以吧，单机的

535: 为什么光退出来？

536: 倒是挺好玩的，但是总丢道具，花了我不少银子

537: 好玩，不过太费神，休息会，去玩会<疯~狂，K*I。S.S>去了，终于知道范冰冰荧幕初吻被谁夺走了~。

538: 不好，打不开，我劝大家不要玩

539: 没感觉啊啊

540: 还不错

541: 可以用烧饼

542: 打不开

543: 超赞

544: 好玩爸爸去哪儿2用很好玩

545: 老是闪退

546: 太好玩了
。。。。。。。。。

547: 很好玩

548: 好玩吗

549: 比第2部好玩多了

550: 还不错嘛！

551: 老闪退

552: 还行

553: 总闪退

554: 打不开.一崇“？？？？？！？？？！！！‘““




“



‘？？？？？？？？！？？？！！！！？！！！！

555: 不错

556: 超好 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!

557: 属于小孩子的游戏    还行。

558: 什么破玩意，太好玩了

559: hao wan

560: 现在的人都怎么了？我儿子玩的就挺好的怎么就垃圾了，简单了，三四岁能玩什么复杂的吗？

561: 很好玩！！推荐下载！！最爱森碟天天！

562: 太棒了!好玩。

563: 很好玩

564: 还可以

565: 什么破玩意，总闪退，神经

566: 他妈的就是垃圾游戏  太简单了》
、

567: 挺好玩的。

568: 给力

569: 这游戏蛮不错的

570: 很好很好很好

571: 根本都玩不了，大家不要下！

572: 挺好玩的。

573: 好多好玩的

574: 什么破游戏，一按它就闪退，

575: 好玩

576: 好玩

577: 为什么更新之后就玩不了了？我之前都打到170关了，::>_<::

578: 臭游戏，垃圾

579: 破游戏

580: 太棒了，终于更新了，可以接着玩了

581: 好玩

582: 本人已打到170关，求新板。

583: 这游戏为啥看起来这么         无聊幼稚呢。。。。。？？？？

584: 好玩这tm的真好玩好假

585: 很不错哦！

586: 拨打电话？这什么玩意？

587: 好玩  我爱爸爸去哪儿游戏  你们来玩吧给钱的哦

588: 多好玩啊，不好玩的都他妈是你们自己手机不好，回家找你妈换手机去，草

589: 还可以

590: 很好玩    玩不了的手机不好

591: 我喷血了，根本每一次都闪退-_-!无语！

592: 玩不了

593: 还可以还行

594: 需要联网？

595: 什么游戏！！！玩了一次~~就闪停了~~还要重头开始！！

596: 就玩了一次，然后就打不开了

597: 老是闪退

598: 还可以、

599: 太好玩了

600: 太好了，我喜欢，非常喜欢！

601: 这个游戏非常好玩

602: 闪退到底是怎么回事儿！太着急了

603: 好玩!

604: 手机发烫，费电，买东西要钱

605: 好好好好好好好好玩

606: 进不去

607: 总进不去

608: 画面不好,效果不棒

609: 三星能玩吗

610: 进不去，总闪退！

611: 很好玩????

612: 不好玩

613: 还行

614: 吞钱的垃圾游戏，真讨厌我这双贱手！！

615: 下破解版 就不要钱

616: 一点也不花流量，我保证

617: 降落伞如何翻新

618: 花流量吗、、

619: 不好 了几 太乐

620: 好玩不

621: 所有的关都玩完啦，需要更新了

622: 太好玩了

623: 您的赞美就是给作者最大的回报，觉得好就表扬TA一下吧。wahahahahaha

624: 好玩  我在高手组  排名第一名字叫   我爱你刘萌

625: 需要流量吗

626: 好玩

627: 没玩试试看

628: 要流量吗，各位

629: 玩不起

630: 0.0     还行吧

